strain species color 
BR29 P.grisea orchid1
P26 P.grisea orchid1
U167 P.grisea orchid1
U170 P.grisea orchid1
UFVPY125 P.grisea orchid1
UFVPY171 P.urashimae #FDBF6F
PgNI907 P.grisea orchid1
CR0027 P.grisea orchid1
P30 P.grisea orchid1
AR4 P.oryzae dodgerblue2
ATCC64557 P.oryzae dodgerblue2
As073 P.oryzae dodgerblue2
B2 P.oryzae dodgerblue2
B51 P.oryzae dodgerblue2
BP1 P.oryzae dodgerblue2
BR118 P.oryzae dodgerblue2
BTTrp-5 P.oryzae dodgerblue2
Bd8401 P.oryzae dodgerblue2
BdBar2 P.oryzae dodgerblue2
Bm88324 P.oryzae dodgerblue2
EtKY19-1 P.oryzae dodgerblue2
Br35 P.oryzae dodgerblue2
Br62 P.oryzae dodgerblue2
G22 P.oryzae dodgerblue2
CR0026 P.oryzae dodgerblue2
GN0001 P.oryzae dodgerblue2
Guy11 P.oryzae dodgerblue2
P25 P.oryzae dodgerblue2
Cd88215 P.oryzae dodgerblue2
CdJA159 P.oryzae dodgerblue2
Pd88413-2 P.oryzae dodgerblue2
Ec88443 P.oryzae dodgerblue2
EiJA178 P.oryzae dodgerblue2
GFSI1-7-2 P.oryzae dodgerblue2
FPH-2015-44 P.oryzae dodgerblue2
G17 P.oryzae dodgerblue2
Pr8202 P.oryzae dodgerblue2
pg1213-2 P.oryzae dodgerblue2
MrJA49 P.oryzae dodgerblue2
NNPM1-2-1 P.oryzae dodgerblue2
YNPM4-1-1 P.oryzae dodgerblue2
U232 P.oryzae dodgerblue2
Wk3-1 P.oryzae dodgerblue2
Lh8401 P.oryzae dodgerblue2
MZ5-1-6 P.oryzae dodgerblue2
Lc8401 P.oryzae dodgerblue2
SSFL02-1 P.oryzae dodgerblue2
Pr88165 P.oryzae dodgerblue2
CD86 P.penniseticola turquoise
Ce88454 P.pennisetigena #A58AFF
Pm1 P.pennisetigena #A58AFF
PpBr36 P.pennisetigena #A58AFF
UFVPY677 P.urashimae #FDBF6F
UFVPY657 P.urashimae #FDBF6F
PmJA115 P.urashimae #FDBF6F
UFVPY204 P.urashimae #FDBF6F
LoNI919 P.urashimae #FDBF6F
UFVPY202 P.urashimae #FDBF6F
UFVPY210 P.urashimae #FDBF6F
UFVPY232 P.urashimae #FDBF6F
PmJA1 P.urashimae #FDBF6F
RN1 P.zingibericola #F8766D
Cr9010 Ps.cyperi palegreen
CrA8401 Ps.javanica gray70
